cell_type,gene,n_cells,mean_expr,pct_expressing
T/NK cells,NAPSA,64403,0.06106511906354875,3.603869384966539
T/NK cells,NKG7,64403,1.3727720513808166,42.199897520301846
T/NK cells,PECAM1,64403,0.049034555795963816,3.2700340046271132
T/NK cells,PLK1,64403,0.00618572881588413,0.5092930453550301
T/NK cells,PTPRC,64403,1.3552461343022817,69.72811825536077
T/NK cells,SFTPC,64403,0.4537270864994515,20.7661133798115
T/NK cells,STEAP1,64403,0.0019100709974434209,0.1226650932409981
T/NK cells,TK1,64403,0.023961816685608196,1.6024098256292407
T/NK cells,TOP2A,64403,0.02080813111982676,1.4098722109218516
T/NK cells,VWF,64403,0.0025106433973054246,0.1614831607223266
